"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Jun 29 04:37:35 UTC 2025","Sun Jun 29 04:37:35 UTC 2025","28","","Login API Token Generation","","Login with missing password","","Login with missing password",""
"passed","Sun Jun 29 04:37:36 UTC 2025","Sun Jun 29 04:37:36 UTC 2025","48","","Update Book API","","Update only author","","Update only author",""
"passed","Sun Jun 29 04:37:36 UTC 2025","Sun Jun 29 04:37:36 UTC 2025","97","","Get Book by ID API","","Retrieve a book by its ID","","Retrieve a book by its ID",""
"passed","Sun Jun 29 04:37:36 UTC 2025","Sun Jun 29 04:37:36 UTC 2025","47","","Update Book API","","Update only book name","","Update only book name",""
"passed","Sun Jun 29 04:37:36 UTC 2025","Sun Jun 29 04:37:36 UTC 2025","20","","Delete Book API","","Delete a book by ID","","Delete a book by ID",""
"passed","Sun Jun 29 04:37:36 UTC 2025","Sun Jun 29 04:37:36 UTC 2025","51","","Update Book API","","Update name and author","","Update name and author",""
"passed","Sun Jun 29 04:37:35 UTC 2025","Sun Jun 29 04:37:35 UTC 2025","47","","Get API","","Get root endpoint status","","Get root endpoint status",""
"passed","Sun Jun 29 04:37:36 UTC 2025","Sun Jun 29 04:37:36 UTC 2025","46","","Update Book API","","Update only published year","","Update only published year",""
"passed","Sun Jun 29 04:37:36 UTC 2025","Sun Jun 29 04:37:36 UTC 2025","60","","Update Book API","","Update all fields","","Update all fields",""
"passed","Sun Jun 29 04:37:35 UTC 2025","Sun Jun 29 04:37:35 UTC 2025","425","","Login API Token Generation","","Valid login with correct email and password","","Valid login with correct email and password",""
"passed","Sun Jun 29 04:37:30 UTC 2025","Sun Jun 29 04:37:33 UTC 2025","2831","","Signup API Tests","","Valid Signup","","Valid Signup",""
"passed","Sun Jun 29 04:37:35 UTC 2025","Sun Jun 29 04:37:35 UTC 2025","94","","Create Book API","","Create a book with valid data","","Create a book with valid data",""
"passed","Sun Jun 29 04:37:36 UTC 2025","Sun Jun 29 04:37:36 UTC 2025","49","","Update Book API","","Update only book summary","","Update only book summary",""
"broken","Sun Jun 29 04:37:35 UTC 2025","Sun Jun 29 04:37:35 UTC 2025","27","","Login API Token Generation","","Login with missing email","","Login with missing email",""
"passed","Sun Jun 29 04:37:36 UTC 2025","Sun Jun 29 04:37:36 UTC 2025","51","","Update Book API","","Update author and summary","","Update author and summary",""
"broken","Sun Jun 29 04:37:34 UTC 2025","Sun Jun 29 04:37:35 UTC 2025","838","","Signup API Tests","","Signup with missing password","","Signup with missing password",""
"passed","Sun Jun 29 04:37:35 UTC 2025","Sun Jun 29 04:37:35 UTC 2025","37","","Health Check API","","Verify health endpoint is up","","Verify health endpoint is up",""
"passed","Sun Jun 29 04:37:36 UTC 2025","Sun Jun 29 04:37:36 UTC 2025","53","","Update Book API","","Update name, author, and summary","","Update name, author, and summary",""
"passed","Sun Jun 29 04:37:36 UTC 2025","Sun Jun 29 04:37:36 UTC 2025","55","","Update Book API","","Update summary and published year","","Update summary and published year",""
"broken","Sun Jun 29 04:37:33 UTC 2025","Sun Jun 29 04:37:34 UTC 2025","432","","Signup API Tests","","Signup with missing email","","Signup with missing email",""
"passed","Sun Jun 29 04:37:36 UTC 2025","Sun Jun 29 04:37:36 UTC 2025","52","","Update Book API","","Update published year and name","","Update published year and name",""
